Seq_name	Read1	Read2	Instrument_run	ID_sample	Bldg_loc_ID	Bldg_ID	Temp_degC	pH	Hardness	CFU_L	Country	City	Season_year	Time_point	Building_type	Location_in_building
3984	3984_1.fastq.gz	3984_2.fastq.gz	DE18INS60510_349	H2_FAHE	C_B3_FAHE	C_B3	50	7.65	29.93	0	Denmark	Copenhagen	Summer2017	2017-07	Hotel	FPB
4201	4201_1.fastq.gz	4201_2.fastq.gz	DE18INS60510_349	HCH-MW	C_B1_MW	C_B1	8.4	7.95	23.27	0	Denmark	Copenhagen	Winter2018	2018-01	Health_care_facility	MW
4202	4202_1.fastq.gz	4202_2.fastq.gz	DE18INS60510_349	HCH-AHE	C_B1_AHE	C_B1	59.4	7.75	19.8	0	Denmark	Copenhagen	Winter2018	2018-01	Health_care_facility	AHE
4203	4203_1.fastq.gz	4203_2.fastq.gz	DE18INS60510_349	HCH-HRW	C_B1_HRW	C_B1	54.7	7.85	19.91	0	Denmark	Copenhagen	Winter2018	2018-01	Health_care_facility	HRW
4204	4204_1.fastq.gz	4204_2.fastq.gz	DE18INS60510_349	HCH_FAHE	C_B1_FPB	C_B1	58.5	7.7	19.91	0	Denmark	Copenhagen	Winter2018	2018-01	Health_care_facility	FPB
4211	4211_1.fastq.gz	4211_2.fastq.gz	DE18INS60510_349	H1-HRW	C_B2_HRW	C_B2	47.1	7.8	22.92	500	Denmark	Copenhagen	Winter2018	2018-01	Hotel	HRW
4212	4212_1.fastq.gz	4212_2.fastq.gz	DE18INS60510_349	H1-FAHE	C_B2_FAHE	C_B2	46.9	7.7	20.73	200	Denmark	Copenhagen	Winter2018	2018-01	Hotel	FPB
4205	4205_1.fastq.gz	4205_2.fastq.gz	DE18INS60510_349	H2-MW	C_B3_MW	C_B3	8.4	7.8	30.98	0	Denmark	Copenhagen	Winter2018	2018-01	Hotel	MW
4206	4206_1.fastq.gz	4206_2.fastq.gz	DE18INS60510_349	H2-AHE	C_B3_AHE	C_B3	55	7.85	35.45	0	Denmark	Copenhagen	Winter2018	2018-01	Hotel	AHE
4207	4207_1.fastq.gz	4207_2.fastq.gz	DE18INS60510_349	H2-HRW	C_B3_HRW	C_B3	49.3	7.8	22.57	0	Denmark	Copenhagen	Winter2018	2018-01	Hotel	HRW
